"Long","Lat"
-73.9236428217,40.7238022378
-73.9228184615,40.7234537602
-73.9224630688,40.7235401776
-73.9215299953,40.7235099189
-73.9213313442,40.723435781
-73.9210440126,40.7232790394
-73.9207661525,40.7233433705
-73.9262310696,40.8009389229
-73.9238582366,40.7235570252
-73.9238151536,40.7236285229
-73.921758486,40.7235413092
-73.9211302624,40.7237879048
-73.9290866667,40.8681366667
-73.952557873,40.7958677458
-73.9400568512,40.7415553602
-73.9401149378,40.7412995026
-73.940274194,40.74172962
-73.9412551281,40.7419922669
-73.942101365,40.7429952873
-73.9518855606,40.7691883156
-73.9519257099,40.7692425885
-73.96256978,40.81732096
-73.9844262042,40.7683204534
-73.9484633333,40.7423783333
-73.9647472557,40.7565824362
-73.8734342493,40.6255772227
-73.9427502081,40.7393408195
-73.9427507111,40.7393688988
-73.97501363,40.80030419
-73.93407876,40.86128645
-73.9324553,40.86215108
-73.9432134759,40.7764502289
-73.9511159342,40.7667771774
-73.9448792116,40.7356884471
-73.9449303412,40.7356790174
-73.9449108113,40.7356793946
-73.9448147547,40.7358777943
-73.9448184428,40.73590294
-73.9448406548,40.7358861762
-73.9450205304,40.7358683646
-73.9936896321,40.7735774154
-73.99190938,40.6756316
-73.96304042,40.81698206
-73.95256806,40.79595319
-73.9426936303,40.7363913954
-73.942624312,40.7363081631
-73.9424008504,40.7361830632
-73.9421408438,40.7361116074
-73.9418990259,40.7359744376
-73.9416987822,40.7358733099
-73.9417386801,40.735969157
-73.9417510015,40.7359438017
-73.9414530248,40.735661164
-73.9412788489,40.7354863175
-73.9598234744,40.7896606112
-73.9265121148,40.7920318097
-73.9600655437,40.7599822199
-73.9900313505,40.7039809646
-73.9203079994,40.8731180624
-73.9281765931,40.7906860952
-73.9533471131,40.7717384678
-73.9533008449,40.7718733745
-73.9533961472,40.7716957201
-73.9730576613,40.7790594735
-73.9729943779,40.7791189431
-73.9649117087,40.784092513
-73.9639227279,40.783779365
-73.9634924848,40.7834039815
-73.9634512459,40.783274523
-73.9632660896,40.7833047398
-73.9631807619,40.7829814917
-73.9601461776,40.7830450265
-73.9598425013,40.7836201508
-73.9597679862,40.7835662133
-73.959866725,40.783631634
-73.9598277491,40.7836209471
-73.9594494738,40.7843306847
-73.9594332129,40.7843396115
-73.9589867928,40.7847831818
-73.9586798475,40.7851453219
-73.9579726663,40.7862335444
-73.9579305892,40.7861975022
-73.957802346,40.7864957303
-73.9576746058,40.7873446914
-73.957877867,40.7872812823
-73.9577647113,40.7875839947
-73.9576072153,40.7877624873
-73.9577170183,40.7878759783
-73.9575039503,40.7881948259
-73.9574359731,40.7884104504
-73.9577381407,40.7889209502
-73.9578843211,40.788962734
-73.9580703993,40.7890694356
-73.9581067768,40.7890385064
-73.9581670427,40.7888974809
-73.9582750016,40.7889195672
-73.9583591559,40.7890096307
-73.9584149793,40.7889115205
-73.9585937653,40.7890618081
-73.9585307334,40.7888909849
-73.958505001,40.7889324334
-73.9586084337,40.7888841117
-73.9586459008,40.7888533082
-73.9586562105,40.7888185233
-73.9586538636,40.788848321
-73.9586677775,40.7889852813
-73.9589543548,40.788845094
-73.9598756098,40.7896559174
-73.9596531541,40.7897928358
-73.9597217181,40.7895742357
-73.9610101004,40.7891018736
-73.9619004261,40.7890305017
-73.9616862685,40.788860349
-73.9620067087,40.7886264939
-73.9620576706,40.788565306
-73.9621145838,40.7885034476
-73.9625177533,40.7883879869
-73.9627775923,40.7883697562
-73.962909272,40.7883233205
-73.962783292,40.7883767132
-73.9634274413,40.7883656491
-73.9637905453,40.7882727776
-73.96379021,40.7882969175
-73.963648975,40.7883025753
-73.9639062156,40.7882846799
